Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes
Guard Electrode,Advanced,Read-Only,Controlled list,$MethodDefinition.schema:actionProcess.schema:step[schema:name='dataAcquisition'].schema:additionalProperty[schema:name='Guard Electrode'].schema:value,inferred,shared,
Mass Resolution Setting,Basic,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:additionalProperty[schema:name='Mass Resolution Setting'].schema:value,inferred,shared,
Collision/Reaction Cell (CRC) Configuration,Basic,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Collision Reaction Cell'].schema:name,authored,shared,
Detector Configuration,Basic,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:additionalProperty[schema:name='Detector Configuration'].schema:value,inferred,shared,
Nebulizer Type,Basic,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Sample Introduction System'].schema:additionalProperty[schema:name='Nebulizer Type'].schema:value,authored,shared,
Spray Chamber Type and Cooling Temperature,Basic,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Sample Introduction System'].schema:additionalProperty[schema:name='Spray Chamber Type and Cooling Temperature'].schema:value,authored,shared,
Desolvation System,Advanced,Read-Only,Controlled list,$MethodDefinition.schema:additionalProperty[schema:name='Desolvation System'].schema:value,inferred,shared,
Sample Uptake Rate,Basic,Editable,Numeric (µL/min or mL/min),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Sample Introduction System'].schema:additionalProperty[schema:name='Sample Uptake Rate'].schema:value,authored,shared,
Acquisition Software,Basic,Editable,Text (free),$MethodDefinition.bios:computationalTool[ada:toolRole='acquisition'].schema:name,authored,shared,
Data Reduction Software,Basic,Editable,Text (free),$MethodDefinition.bios:computationalTool[ada:toolRole='dataReduction'].schema:name,authored,shared,
RF Power,Basic,Editable,Numeric (W),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='ICP Source'].schema:additionalProperty[schema:name='RF Power'].schema:value,authored,shared,
Coolant (Plasma) Gas Flow Rate,Basic,Editable,Numeric (L/min),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='ICP Source'].schema:additionalProperty[schema:name='Coolant Plasma Gas Flow Rate'].schema:defaultValue,authored,shared,
Coolant (Plasma) Gas Flow Rate,Basic,Editable,Numeric (L/min),$Dataset.prov:wasGeneratedBy.prov:used[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='ICP Source'].schema:additionalProperty[schema:name='Coolant Plasma Gas Flow Rate'].schema:value,inferred,shared,dual-home counterpart (tier matrix)
Auxiliary Gas Flow Rate,Basic,Editable,Numeric (L/min),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='ICP Source'].schema:additionalProperty[schema:name='Auxiliary Gas Flow Rate'].schema:defaultValue,authored,shared,
Auxiliary Gas Flow Rate,Basic,Editable,Numeric (L/min),$Dataset.prov:wasGeneratedBy.prov:used[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='ICP Source'].schema:additionalProperty[schema:name='Auxiliary Gas Flow Rate'].schema:value,inferred,shared,dual-home counterpart (tier matrix)
Nebulizer Gas Flow Rate,Basic,Editable,Numeric (L/min),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Sample Introduction System'].schema:additionalProperty[schema:name='Nebulizer Gas Flow Rate'].schema:value,authored,shared,
Make-up Gas Flow Rate,Advanced,Editable,Numeric (L/min),$Dataset.prov:wasGeneratedBy.prov:used[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Sample Introduction System'].schema:additionalProperty[schema:name='Make up Gas Flow Rate'].schema:value,authored,shared,
Make-up Gas Flow Rate,Advanced,Editable,Numeric (L/min),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:additionalProperty[schema:name='Make up Gas Flow Rate'].schema:defaultValue,authored,shared,
Plasma Thermal Mode,Basic,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='ICP Source'].schema:additionalProperty[schema:name='Plasma Thermal Mode'].schema:value,authored,shared,"read-only: fixed protocol value, not a default"
Analyte,Basic,Editable,Text (free),$MethodDefinition.ada:analyteTemplate.ada:defaultAnalytes[],inferred,shared,
Monitored Isotopes,Basic,Read-Only,Text (free),$.ada:analyteTemplate.ada:analyteColumns[],authored,shared,
Dwell Time per Mass,Basic,Read-Only,Numeric (ms) or Text,$.ada:analyteTemplate.ada:analyteColumns[],authored,shared,
Mass Cycles per Replicate,Basic,Read-Only,Integer,$MethodDefinition.ada:massCyclesPerReplicate,inferred,,
Number of Replicates per Sample,Basic,Read-Only,Integer,$MethodDefinition.ada:numberOfReplicatesPerSample,inferred,shared,
Sample Sequence Design,Basic,Read-Only,Text (free),$MethodDefinition.ada:sampleSequenceDesign,inferred,shared,
Wash Time Between Samples,Basic,Read-Only,Numeric (s),$MethodDefinition.ada:washTimeBetweenSamples,inferred,shared,
Signal Collection Mode,Basic,Read-Only,Controlled list,$MethodDefinition.ada:signalCollectionMode,inferred,shared,
Collision Gas Type,Basic,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Collision Reaction Cell'].schema:additionalProperty[schema:name='Collision Gas Type'].schema:value,authored,shared,
Collision Gas Flow Rate,Basic,Editable,Numeric (mL/min),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Collision Reaction Cell'].schema:additionalProperty[schema:name='Gas Flow Rate'].schema:value,authored,shared,
Cell Exit Discrimination Voltage,Basic,Editable,Numeric (V),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Collision Reaction Cell'].schema:additionalProperty[schema:name='Cell Exit Discrimination Voltage'].schema:value,authored,shared,
Reaction Gas Type,Advanced,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Collision Reaction Cell'].schema:additionalProperty[schema:name='Reaction Gas Type'].schema:value,authored,shared,
Reaction Gas Flow Rate,Advanced,Editable,Numeric (mL/min),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Collision Reaction Cell'].schema:additionalProperty[schema:name='Reaction Gas Flow Rate'].schema:value,authored,shared,
Internal Standard Element,Basic,Read-Only,Text (free),$MethodDefinition.ada:internalStandardElement,inferred,shared,
Internal Standard Concentration,Advanced,Read-Only,Numeric (µg/L),$MethodDefinition.schema:additionalProperty[schema:name='Internal Standard Concentration'].schema:value,inferred,shared,
Oxide Production Method and Threshold,Basic,Read-Only,Text (free),$MethodDefinition.ada:oxideProductionMethodAndThreshold,inferred,shared,
Oxide Production,N/A,Basic,Text (free),$Dataset.dqv:hasQualityMeasurement[dqv:isMeasurementOf='Oxide production ratio'].dqv:value,authored,shared,
Doubly-Charged Species Monitor,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.prov:used[schema:additionalType='ICPMS'].schema:additionalProperty[schema:name='Doubly Charged Species Monitor'].schema:value,authored,shared,
Doubly-Charged Species Monitor,Advanced,Editable,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:additionalProperty[schema:name='Doubly Charged Species Monitor'].schema:defaultValue,authored,shared,
Doubly-Charged Species Production,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.prov:used[schema:additionalType='ICPMS'].schema:additionalProperty[schema:name='Doubly Charged Species Production'].schema:value,authored,shared,
Doubly-Charged Species Production,Advanced,Editable,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:additionalProperty[schema:name='Doubly Charged Species Production'].schema:defaultValue,authored,shared,
Internal Standard Approach,Basic,Read-Only,Controlled list,$MethodDefinition.ada:internalStandardApproach,inferred,shared,
Drift Correction Method,Basic,Read-Only,Controlled list,$MethodDefinition.ada:driftCorrectionMethod,inferred,shared,
Per-Analyte Calibration Strategy,Basic,Read-Only,Controlled list,$MethodDefinition.ada:perAnalyteCalibrationStrategy[],inferred,shared,
Signal Integration Interval Method,Basic,Read-Only,Controlled list,$MethodDefinition.ada:signalIntegrationIntervalMethod,inferred,shared,
Signal Integration Time,N/A,Basic,Numeric (s),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Signal Integration Time'].schema:value,inferred,shared,
Blank/Background Correction Method,Basic,Read-Only,Controlled list,$MethodDefinition.ada:blankBackgroundCorrectionMethod,inferred,shared,
Spike/Outlier Filtering Approach,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='dataReduction'].schema:additionalProperty[schema:name='Spike Outlier Filtering Approach'].schema:value,authored,shared,
Spike/Outlier Filtering Approach,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Spike Outlier Filtering Approach'].schema:defaultValue,authored,shared,
Pulse/Analog Detector Nonlinearity Correction,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='dataReduction'].schema:additionalProperty[schema:name='Pulse Analog Detector Nonlinearity Correction'].schema:value,authored,shared,
Pulse/Analog Detector Nonlinearity Correction,Advanced,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='dataReduction'].schema:additionalProperty[schema:name='Pulse Analog Detector Nonlinearity Correction'].schema:defaultValue,authored,shared,
Isobaric Interference Corrections Applied,Basic,Read-Only,Controlled list,$.ada:analyteTemplate.ada:analyteColumns[],authored,shared,
Interfering Species,Basic,Read-Only,Text (free),$.ada:analyteTemplate.ada:analyteColumns[],authored,shared,
Interference Correction Method,Basic,Read-Only,Text (free),$.ada:analyteTemplate.ada:analyteColumns[],authored,shared,
Isotope Dilution Data Reduction Method,Basic,Read-Only,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='dataReduction'].schema:additionalProperty[schema:name='Isotope Dilution Data Reduction Method'].schema:value,authored,shared,divergence decision applied
