Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes,Key by
Peak Flatness,N/A,Basic,Text (free),$Dataset.dqv:hasQualityMeasurement[dqv:isMeasurementOf='Peak Flatness'].dqv:value,flagged,,analysis-instance (needs mapping) | path from owning module,
Internal Standard Approach,Basic,Read-Only,Text (free),$MethodDefinition.ada:internalStandardApproach,authored,shared,,
Internal Standard Element,Basic,Read-Only,Text (free),$MethodDefinition.ada:internalStandardElement,authored,shared,,
Per-Analyte Calibration Strategy,Basic,Read-Only,Text (free),$MethodDefinition.ada:perAnalyteCalibrationStrategy[],authored,shared,,analyte
Elemental Fractionation Correction,Basic,Read-Only,Text (free),$MethodDefinition.ada:elementalFractionationCorrection[],authored,shared,,
Mass Bias Correction Strategy,Basic,Read-Only,Text (free),$MethodDefinition.ada:massBiasCorrectionStrategy,inferred,,,
Uncertainty Level,Basic,Read-Only,Controlled list / Text,$MethodDefinition.ada:uncertaintyLevel,inferred,,,
Uncertainty Propagation Method,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Uncertainty Propagation Method'].schema:value,authored,shared,,reported property
Uncertainty Propagation Method,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Uncertainty Propagation Method'].schema:defaultValue,authored,shared,,reported property
Matrix Offset Correction (LIEF),Advanced,Read-Only,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Matrix Offset Correction LIEF'].schema:value,authored,shared,,
Signal Integration Interval Method,Basic,Read-Only,Text (free),$MethodDefinition.ada:signalIntegrationIntervalMethod,authored,shared,,
Signal Integration Time,N/A,Basic,Numeric (s),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Signal Integration Time'].schema:value,authored,shared,,
Spike / Outlier Filtering Approach,Advanced,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Filtering Approach'].schema:defaultValue,authored,shared,divergence decision applied,
Spike / Outlier Filtering Approach,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Filtering Approach'].schema:value,inferred,shared,dual-home counterpart (tier matrix),
Blank / Background Correction Method,Basic,Read-Only,Text (free),$MethodDefinition.ada:blankBackgroundCorrectionMethod,authored,,,
Isobaric Interference Corrections Applied,Basic,Read-Only,Boolean,$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],authored,shared,,
Interfering Species,Basic,Read-Only,Text (free),$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],authored,shared,,channel
Interference Correction Method,Basic,Read-Only,Text (free),$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],authored,shared,,channel
Isotope Dilution Data Reduction Method,Basic,Read-Only,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Isotope Dilution Data Reduction Method'].schema:value,authored,shared,divergence decision applied,
Memory Effect Mitigation,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='ICPMS'].schema:additionalProperty[schema:name='Memory Effect Mitigation'].schema:value,authored,shared,,
Memory Effect Mitigation,Advanced,Editable,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:additionalProperty[schema:name='Memory Effect Mitigation'].schema:defaultValue,authored,shared,,
Normalization / Standards-Based Correction,Advanced,Editable,Text (free),$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],authored,shared,divergence decision applied,reported property
Calibration Factor and Determination Method,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Calibration Factor and Determination Method'].schema:value,inferred,,path from owning module,reported property
Calibration Factor and Determination Method,Basic,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Calibration Factor and Determination Method'].schema:defaultValue,inferred,,path from owning module,reported property
Procedural Blank Level,N/A,Basic,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Procedural Blank Level'].schema:value,flagged,,analysis-instance (needs mapping) | path from owning module,
Analysis Inclusion and Rejection Criteria,Basic,Basic,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Analysis Inclusion and Rejection Criteria'].schema:value,inferred,,path from owning module,
Mass Fractionation Law,Basic,Read-Only,Controlled list,$MethodDefinition.schema:additionalProperty[schema:name='Mass Fractionation Law'].schema:value,inferred,,path from owning module,
Internal Normalization Element and Isotope Ratio,Basic,Read-Only,Text (free),$MethodDefinition.ada:internalNormalizationElementAndIsotopeRatio,inferred,,path from owning module,
Double-Spike Isotope Pair,Basic,Read-Only,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Double Spike Isotope Pair'].schema:value,inferred,,path from owning module,
Double-Spike Mixing Ratio,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Double Spike Mixing Ratio'].schema:value,inferred,,path from owning module,
Double-Spike Mixing Ratio,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Double Spike Mixing Ratio'].schema:defaultValue,inferred,,path from owning module,
Double-Spike Inversion Algorithm,Basic,Read-Only,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Double-Spike Inversion Algorithm'].schema:value,inferred,,path from owning module,
Age Calculation Method,Basic,Read-Only,Text (free),$MethodDefinition.ada:ageCalculationMethod[],inferred,,path from owning module,reported property
Reported Date Type,Basic,Editable,Controlled list,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Reported Date Type'].schema:value,inferred,,tier rule: session parameter is an additionalProperty on the analysis,reported property
Reported Date Type,Basic,Editable,Controlled list,$MethodDefinition.ada:reportedDateType[],inferred,,path from owning module,reported property
Inherited or Initial Signal Correction,Basic,Editable,Text (free),$MethodDefinition.ada:inheritedOrInitialSignalCorrectionDefault,inferred,,,reported property
Inherited or Initial Signal Correction,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Inherited or Initial Signal Correction'].schema:value,inferred,,,reported property
Radiogenic Fraction of Measured Signal,N/A,Basic,Text (free),,flagged,,analysis-instance (needs mapping),reported property
Age Model,Basic,Editable,Text (free),$MethodDefinition.ada:ageModelDefault,inferred,,,reported property
Age Model,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Age Model'].schema:value,inferred,,,reported property
Age Datum / Reference Epoch,Advanced,Basic,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Age Datum / Reference Epoch'].schema:defaultValue,inferred,,,reported property
Age Datum / Reference Epoch,Advanced,Basic,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Age Datum / Reference Epoch'].schema:value,inferred,,,reported property
Intermediate Daughter Disequilibrium Correction,Advanced,Read-Only,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Intermediate Daughter Disequilibrium Correction'].schema:value,inferred,,path from owning module,
Discordance Definition and Values,Advanced,Read-Only,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Discordance Definition and Values'].schema:value,inferred,,path from owning module,pair: reported property
Error Correlation Between Reported Quantities,Advanced,Basic,Numeric (dimensionless) / Text,$MethodDefinition.schema:additionalProperty[schema:name='Error Correlation Between Reported Quantities'].schema:defaultValue,inferred,,,pair: reported property
Error Correlation Between Reported Quantities,Advanced,Basic,Numeric (dimensionless) / Text,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Error Correlation Between Reported Quantities'].schema:value,inferred,,,pair: reported property
Constants and Reference Values Used,Basic,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Constants Reference Values'].schema:defaultValue,authored,,dual-home decision: protocol default,
Constants and Reference Values Used,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Constants Reference Values'].schema:value,authored,,dual-home decision: analysis-tier value,
Primary Calibration Standard Name,Basic,Editable,Text (free),$MethodDefinition.ada:primaryStandardNameDefault,authored,divergent,dual-home decision: protocol default,
Primary Calibration Standard Name,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.prov:used.prov:reagent[ada:reagentRole='primaryStandard'].schema:name,authored,divergent,dual-home decision: analysis-tier value,
Calibration Standard Measurement Frequency,Basic,Read-Only,Text (free),$MethodDefinition.ada:calibrationMeasurementFrequency,authored,shared,,
Secondary Reference Materials,Basic,Editable,Text (free),$MethodDefinition.ada:secondaryReferenceMaterialDefault[],authored,divergent,dual-home decision: protocol default,defines: standard
Secondary Reference Materials,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.prov:used.prov:reagent[ada:reagentRole='referenceMaterial'].schema:name,authored,divergent,dual-home decision: analysis-tier value,defines: standard
Detection Limit,Advanced,Basic,Numeric (ppm or wt%),$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],authored,shared,,reported property
Detection Limit Method,Basic,Read-Only,Text / URI,$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],authored,shared,,reported property
Limit of Quantification (LOQ) Method,Advanced,Basic,Text / URI,$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],authored,shared,,reported property
Within-Session Analytical Precision and Assessment Method,Basic,Basic,Text (free),$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],authored,shared,,standard x reported property
Between-Session (Long-Term) Analytical Precision and Assessment Method,Advanced,Basic,Text (free),$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],authored,shared,,standard x reported property
Analytical Accuracy and Assessment Method,Basic,Basic,Text (free),$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],authored,shared,,standard x reported property
Goodness-of-Fit or Dispersion Statistic,N/A,Basic,Text (free),$Dataset.dqv:hasQualityMeasurement[dqv:isMeasurementOf='Dispersion Statistic'].dqv:value,flagged,,analysis-instance (needs mapping) | path from owning module,reported property
Goodness-of-Fit or Dispersion Statistic,N/A,Basic,Text (free),$Dataset.dqv:hasQualityMeasurement[dqv:isMeasurementOf='Goodness-of-Fit'].dqv:value,flagged,,analysis-instance (needs mapping) | path from owning module,reported property
Additional Notes,Advanced,Advanced,Text (free),$MethodDefinition.schema:description,authored,shared,dual-home decision: protocol default,
Additional Notes,Advanced,Advanced,Text (free),$Dataset.prov:wasGeneratedBy.schema:description,authored,shared,dual-home decision: analysis-tier value,
Mass Resolution Assignment,Basic,Read-Only,Text (free),$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],authored,shared,[not in current workbook],channel
Monitored Masses,Basic,Read-Only,Text (free),$MethodDefinition.ada:massesMeasuredDefault,authored,,dual-home decision: protocol default [not in current workbook],analyte
Monitored Masses,Basic,Read-Only,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Monitored Masses'].schema:value,authored,,tier rule: session parameter is an additionalProperty on the analysis,analyte
Instrument Sensitivity,N/A,Advanced,Numeric + unit / Text,$Dataset.ada:sensitivityYield,authored,,[not in current workbook],channel
Ion Counter Dead Time,Basic,Editable,Numeric (ns),$MethodDefinition.schema:additionalProperty[schema:name='Ion Counter Dead Time'].schema:defaultValue,inferred,,[not in current workbook],channel
Normalization / Standards-Based Correction,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Normalization / Standards-Based Correction'].schema:value,authored,shared,[not in current workbook],reported property
Normalization / Standards-Based Correction,Advanced,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Normalization / Standards-Based Correction'].schema:defaultValue,authored,shared,[not in current workbook],reported property
Instrument Manufacturer,Basic,Read-Only,Controlled list,,flagged,,new in this revision (needs mapping),
Counting Statistics Error,Advanced,Basic,Text (free),,flagged,,new in this revision (needs mapping),sample > sampling unit x reported property
Internal (Within-Measurement) Analytical Precision and Assessment Method,Advanced,Basic,Text (free),,flagged,,new in this revision (needs mapping),sample > sampling unit x reported property
