Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes,Key by
Image Pixel Size,Advanced,Basic,Numeric + unit,$MethodDefinition.schema:additionalProperty[schema:name='Image Pixel Size'].schema:defaultValue,authored,,dual-home decision: protocol default,
Image Pixel Size,Advanced,Basic,Numeric + unit,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Image Pixel Size'].schema:value,authored,,dual-home decision: analysis-tier value,
Dwell Time per Pixel,Basic,Editable,Numeric + unit,$MethodDefinition.ada:dwellTimePerPixelDefault,authored,shared,divergence decision applied,
Dwell Time per Pixel,Basic,Editable,Numeric + unit,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Dwell Time per Pixel'].schema:value,inferred,shared,dual-home counterpart (tier matrix),
CL Acquisition Mode,Basic,Read-Only,Controlled list,$MethodDefinition.ada:clAcquisitionMode,inferred,,,
CL Wavelength Range,Basic,Read-Only,Numeric pair (nm),$MethodDefinition.ada:clWavelengthRange,inferred,,,
CL Grating,Advanced,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='SEM'].schema:additionalProperty[schema:name='CL Grating'].schema:value,authored,,triage decision (reviewer),
CL Integration Time,Basic,Editable,Numeric + unit,$MethodDefinition.ada:clIntegrationTimeDefault,authored,,triage decision (reviewer),
CL Integration Time,Basic,Editable,Numeric + unit,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='CL Integration Time'].schema:value,authored,,triage decision (reviewer),
Sample Tilt Angle,Basic,Read-Only,Numeric (degrees),$MethodDefinition.ada:sampleTiltAngle,inferred,,,
EBSD Step Size,Basic,Editable,Numeric + unit,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='EBSD StepSize'].schema:value,authored,,tier rule: session parameter is an additionalProperty on the analysis,
EBSD Step Size,Basic,Editable,Numeric + unit,$MethodDefinition.ada:ebsdStepSizeDefault,authored,,tier rule: added the missing procedure default (reused from another sidecar),
