Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes
Neutron Irradiation Conditions,Basic,Read-Only,Text (free),,flagged,module,no technique places this field yet
Neutron-Induced Interfering Isotope Production Ratios,Basic,Read-Only,Text (free),,flagged,module,no technique places this field yet
Gas Extraction and Release Schedule,Basic,Editable,Text (free),,flagged,module,no technique places this field yet
F Value (40Ar*/39ArK),N/A,Basic,Text (free),,flagged,module,no technique places this field yet
