Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes,Key by
Data Processing Software(s),Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.prov:used.bios:computationalTool[ada:toolRole='dataReduction'].schema:name,authored,module,unanimous across 7 technique(s),
Data Processing Software(s),Basic,Editable,Text (free),$MethodDefinition.bios:computationalTool[ada:toolRole='dataReduction'].schema:name,authored,module,unanimous across 7 technique(s),
Analytical Mode,Basic,Read-Only,Controlled list,$MethodDefinition.ada:analyticalMode[],authored,module,unanimous across 16 technique(s),
Reported Variables and Units,Basic,Read-Only,Text (free),$MethodDefinition.ada:reportedProperties[],authored,module,"reviewer-settled placement (triage 2026-08-21): the reported-property list is $MethodDefinition.ada:reportedProperties[], not the reportedPropertyTemplate form some technique sidecars still carry",defines: reported property
Constants and Reference Values Used,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Constants Reference Values'].schema:value,inferred,module,"majority 13/16 (empaTAPP, laMcicpmsUPbTAPP, laQicpmsUPbTAPP, laSficpmsUPbTAPP, labxctTAPP, semCompositionTAPP, semFibsemTAPP, semImagingTAPP, semTAPP, solutionMcicpmsTAPP, solutionQicpmsTAPP, solutionSficpmsTAPP, temTAPP); rivals: 3x $Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Constants and Reference Values Used'].schema:value",
Constants and Reference Values Used,Basic,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Constants Reference Values'].schema:defaultValue,inferred,module,"majority 13/16 (empaTAPP, laMcicpmsUPbTAPP, laQicpmsUPbTAPP, laSficpmsUPbTAPP, labxctTAPP, semCompositionTAPP, semFibsemTAPP, semImagingTAPP, semTAPP, solutionMcicpmsTAPP, solutionQicpmsTAPP, solutionSficpmsTAPP, temTAPP); rivals: 3x $Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Constants and Reference Values Used'].schema:value",
Additional Notes,Advanced,Advanced,Text (free),$Dataset.prov:wasGeneratedBy.schema:description,authored,module,unanimous across 16 technique(s),
Additional Notes,Advanced,Advanced,Text (free),$MethodDefinition.schema:description,authored,module,unanimous across 16 technique(s),
Sample Preparation Method,Basic,Editable,Controlled list / Text,$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='Sample preparation'].schema:description,inferred,module,"majority 11/15 (empaTAPP, laMcicpmsTAPP, laMcicpmsUPbTAPP, laQicpmsTAPP, laQicpmsUPbTAPP, laSficpmsTAPP, laSficpmsUPbTAPP, semCompositionTAPP, semFibsemTAPP, semImagingTAPP, semTAPP); rivals: 4x $MethodDefinition.schema:actionProcess.schema:step[schema:name='Sample preparation'].schema:description",
Sample Preparation Method,Basic,Editable,Controlled list / Text,$MethodDefinition.schema:actionProcess.schema:step[schema:name='Sample preparation'].schema:description,inferred,module,"majority 11/15 (empaTAPP, laMcicpmsTAPP, laMcicpmsUPbTAPP, laQicpmsTAPP, laQicpmsUPbTAPP, laSficpmsTAPP, laSficpmsUPbTAPP, semCompositionTAPP, semFibsemTAPP, semImagingTAPP, semTAPP); rivals: 4x $MethodDefinition.schema:actionProcess.schema:step[schema:name='Sample preparation'].schema:description",
